SimulacionCajeros		Tiempo Promedios		Total Clientes
Tiempo	Abiertos	Cerrados	Llegada	Atencion	Espera	Total	Atendidos
38	4	0	3	8	1	26	0	
37	4	0	3	8	1	25	0	
36	4	0	3	8	1	25	0	
35	4	0	3	8	0	25	0	
34	4	0	3	8	0	24	0	
33	4	0	3	8	0	24	0	
32	4	0	3	8	0	24	0	
31	4	0	1	8	0	23	0	
30	4	0	1	8	0	22	0	
29	4	0	1	8	0	21	0	
28	4	0	1	8	0	20	0	
27	4	0	2	9	0	19	0	
26	4	0	2	9	0	19	0	
25	4	0	1	9	0	18	0	
24	4	0	3	9	0	17	0	
23	4	0	3	9	0	17	0	
22	4	0	3	9	0	17	0	
21	4	0	2	9	0	16	0	
21	4	0	2	9	0	16	0	
20	4	0	3	9	0	15	0	
19	4	0	3	9	0	15	0	
18	4	0	3	9	0	15	0	
17	4	0	1	9	0	14	0	
16	4	0	1	8	0	13	0	
15	4	0	1	8	0	12	0	
14	4	0	1	8	0	11	0	
13	4	0	1	8	0	10	0	
13	4	0	1	9	0	9	0	
12	4	0	2	9	0	8	0	
11	4	0	2	9	0	8	0	
10	4	0	2	10	0	7	0	
9	4	0	2	10	0	7	0	
9	3	1	3	7	0	6	0	
8	3	1	3	7	0	6	0	
7	3	1	3	7	0	6	0	
6	2	2	3	5	0	5	0	
5	2	0	3	9	0	5	0	
5	2	0	3	9	0	5	0	
4	2	0	1	10	0	4	0	
3	2	0	1	10	0	3	0	
2	2	0	1	10	0	2	0	
2	1	1	1	4	0	1	0	
1	0	2	2	0	0	0	0	
0	0	2	2	0	0	0	0	
